prompt,completion
Generate a Biology short answer question:,Name all of the following 4 physiological inputs that affect the homeostatic actions of the hypothalamus in humans: limbic system; olfactory system; retina; reticular formation
Generate a Physics short answer question:,What is the underwater pressure in atmospheres in a fresh water lake at a depth of 20 meters?
Generate a Physics short answer question:,"What is the resonant frequency, in hertz to the nearest whole number, of a three-component series circuit that has a 2 henry inductor, a 2 microfarad capacitor, and a 2 ohm resister?"
Generate a Chemistry short answer question:,Chemistry – Short Answer What is the SI base unit for luminous intensity?
Generate a Chemistry short answer question:,Chemistry – Short Answer What term best describes the relationship between buckminsterfullerene [buk-min-ster-FULL-uh-reen] and graphite?
Generate a Biology short answer question:,"Biology – Short Answer While its expression can also be increased in certain cancers, human chorionic [kor-ee-AWN-ik] gonadotropin [go-nad-oh-TROH-pin] is most associated with what condition in women?"
Generate a Biology short answer question:,"Biology – Short Answer In the first step of glycolysis [glye-KAWL-eh-sis], what moiety [MOY-eh-tee] is added to glucose?"
Generate a Physics short answer question:,"Physics – Short Answer Unlike momentum, angular momentum is not simply the product of angular velocity and mass. What analogous quantity must the angular velocity of a body be multiplied with to give its angular momentum?"
Generate a Physics short answer question:,Physics – Short Answer Identify all of the following four types of waves that are mainly transverse: 1) Plucked violin string; 2) Sound wave; 3) Earthquake P wave; 4) Earthquake S wave.
Generate a Energy short answer question:,Energy – Short Answer Scientists at Idaho National Lab are studying cyanobacteria. These organisms perform photosynthesis in what flattened sacs?
Generate a Energy multiple choice question:,Energy – Multiple Choice Lawrence Berkeley National Lab researchers are developing near-infrared lasers to study chemical reactions. Near-infrared light corresponds to which of the following wavelengths? W) 1 nanometer X) 1 micrometer Y) 1 millimeter Z) 1 meter
Generate a Math short answer question:,Math – Short Answer What is the height of a triangle with area 144 and base 36?
Generate a Math short answer question:,Math – Short Answer What is the least common multiple of the first 6 positive composite numbers?
Generate a Physics multiple choice question:,Physics – Multiple Choice Which of the following statements is NOT TRUE of Kepler’s laws? W) The first law concerns the possible shapes of planetary orbits X) The second law states that planets move equal distances in equal times Y) The third law implies that the orbital period is equal to that of a planet moving in a circular orbit with radius equal to semi-major axis Z) The second law is a consequence of the conservation of angular momentum
Generate a Physics multiple choice question:,"Physics – Multiple Choice Light passes from a mineral with an index of refraction of 2.5 into air. Which of the following is closest to the smallest incident angle, in degrees, at which there will be total internal reflection? W) 5 X) 25 Y) 45 Z) 65"
Generate a Math multiple choice question:,Math – Multiple Choice Which of the following numbers is not divisible by 3? W) 2847 X) 5550 Y) 7612 Z) 9330
Generate a Math short answer question:,Math – Short Answer A particle moves along the x-axis. Its position p at any time t is given by p of t = t3 – 5t2 – 3t + 4. What is the particle's acceleration at t = 4?
Generate a Biology short answer question:,"Biology – Short Answer In contrast to apoptosis [ay-pop-TOW-sis], cells that die due to injury will typically swell and burst. What is the name for this type of cell death?"
Generate a Biology short answer question:,Biology – Short Answer What is the term for a mutualistic association between a fungus and a plant root?
Generate a Energy multiple choice question:,"Energy – Multiple Choice Scientists at Berkeley National Laboratory are using artificial intelligence to create dark matter simulations. In this system, one neural network learns the training data, while a second neural network tries to fool the first by generating inputs that appear to be from the training set. What is this type of network called? W) Convolutional X) Recurrent Y) Adversarial Z) Genetic"
Generate a Energy short answer question:,"Energy – Short Answer Scientists at SLAC [slack] National Accelerator Lab are studying the hormone N-acetyl-5-meth-oxy-tryp-tamine, which is produced by the pineal gland that is more commonly known by what name?"
Generate a Chemistry short answer question:,Chemistry – Short Answer What is the name of the principle that states that equal volumes of gasses at the same temperature and pressure contain the same number of particles?
Generate a Chemistry short answer question:,Chemistry – Short Answer In what specific orbital or orbitals are a sodium plus ion’s highest energy level electrons?
Generate a Math short answer question:,"Math – Short Answer In a Fibonacci-type sequence, if the ninth term is 11 and the tenth term is 18, what is the twelfth term?"
Generate a Math short answer question:,"Math – Short Answer Given g of x = x2 – 2x – 4 and f of x = x – 2, what is the composition g of f of x?"
Generate a Physics short answer question:,Physics – Short Answer What is the general term for the type of material that can be placed between the plates of a parallel-plate capacitor to increase the capacitance [kah-PASS-ih-tense]?
Generate a Physics short answer question:,"Physics – Short Answer A cannon fires a projectile from ground level at a speed of 20 meters per second at an angle of 30 degrees from the horizontal. To the nearest meter, how far away from the cannon will the ball hit the ground, assuming the ground is level?"
Generate a Energy short answer question:,Energy – Short Answer Scientists at Jefferson Lab are measuring the pressures that quarks are under. What common particle is composed of two down quarks and one up quark?
Generate a Energy short answer question:,Energy – Short Answer Researchers at the National Energy Technology Lab are developing new methods based on fiber-optic cables to detect corrosion in natural gas pipelines. What principle in optics guarantees that light will remain within a fiber-optic cable?
Generate a Chemistry multiple choice question:,"Chemistry – Multiple Choice In the stratosphere, ozone production occurs via the overall reaction of three molecules of oxygen plus ultraviolet light yields two molecules of ozone. What is the ultraviolet light converted into in the overall reaction? W) Heat X) Visible light Y) High-energy electrons Z) Free radicals"
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice Which of the following best describes the role of ammonia in the gas-phase reaction of ammonia with boron trichloride? W) Lewis base X) Lewis acid Y) Arrhenius [ah-REE-nee-us] base Z) Arrhenius acid
